1,你不知道啊，那是你自己动脑筋多呢，还是呃妈妈会姐姐只考的比较多。,0
3,本来是什么呢？后来上。,1
4,好了，那我就知道了啊，我们先想一下上节课学的内容吧。,0
5,上节课学的是一个什么故事呀？,1
10,能想起来吗。,1
20,却道机工珍珠那这个公式呢是说。,0
35,他肯定会落下下。,0
45,嗯，是的故事呀，叙事的非常完整，你看啊，横轴的故事里边，我们知道了。,0
47,什么东西是最好的呀，是这有用的呀。,1
51,什么东西才是最后加知道珍珠跟。,1
58,很不错，看完呢，咱们上节课学过的内容都记得，那我现在来写一些字，你看看是不是还认识啊。,1
71,看出来了吗？,1
77,把他藏起来了，我写成这个可以来看一下啊。,0
84,对光芒什么缪呢？,1
86,你的光芒看呢？,1
106,对了，这叫什么呀？,1
114,可以呀，这就是速度快来刻画有点忘记这些加起来是不是？,1
129,珍珠的珍还是珍珠的珠。,1
147,看不到吗，,1
151,那有没有一个东西在转转圈呢？,1
156,嗯，有看见课件吗？,1
160,就是说你现在课件还没有显示出来，是不是？,1
178,嗯，那咱们看它就会扣太拿什么啦。,0
183,嗯，它们在哪里呀？,1
185,它们在干什么呢？,1
189,嗯你再看看它们是在第二题呢还是抓抓科岛呢。,1
196,什么好的，那再来看看吧。,0
201,嗯，你想一想，它们是在什么时候去抓到的。,1
205,嗯早上好，那可不可以用一句话，什么时候石头在哪里干什么来说一说呢？,1
214,哎，很好，那我们如果说嗯。,0
215,想把它写的再多一点的话呢，可不可以再说一点点更加具体的内容了，比如说它们两个形式坐着大谁是它的呢？,1
238,嗯，想白做着看一下明趴着扎蝌蚪，那你再找一找它们在这里抓蝌蚪。,0
239,结果会怎么样呢，能不能查到吗？,1
271,他们想为什么没抓到呢？为什么没抓到？,1
273,就拿着喝汤里。,0
283,嗯，你是不是嗓子有点痒了，要不要喝一点点水啊。,1
292,这个啊板带在拔河是谁大拔河呢你可不可以试着用刚才的句式然后呢把这张图来简单说一说？,1
301,它们很开心，爬着爬着一个小朋友又过来一只会一只猴子说，加油挖加油加油呢，加油，我来给你会加油，然后呢？,1
343,而且再来想一想饱和的时候那中间是不是一定会有一条绳子红色的线条啊或者说红色的绳子把他绑起来然后这里会有一个人都可以把它？,1
353,嗯，咱们到时候呢？哎可以想想，但是呀，想象呢啥呀，根据有那图片来养合理想象。,1
358,把A和B是在即将开始了运动员慢呀各个模前差长么答怎么样答咬的怎么样还要的怎么画呢。,1
368,嗯好哪些啦什么办呢？,1
370,嗯，什么是啊？,1
383,嗯，这些吗。,0
392,哦才看上升力上住比赛开始了盐那加该什么呀？,1
410,是出来的内容啊。,0
420,咱们可以这样子来想吗，可以这样子来想啊，这边这个是才派。,1
423,嗯，这边这个呢，是才派，然后这边的呢，是两个旁观者。,0
428,你这是在画什么呀？,1
430,哦，好啦，都是你的式子把这个想象不错嗯。,0
432,对呀啦啦队呢，一直在很加油加油嗯，这叫施展个比赛的画面，我们可以给它加一个结果啊，比如说哎，哪一边赢了或者哪一边输了。,0
441,那这张图片呀，我们就先说到这里，你看到啊，不管是前面两个小朋友，他们在抓蝌蚪也好，还是后边的找朋友们，他们在拔河也好，其实都是在说一。,0
445,都是在说一件事情，那么这样说一件事情的话呢，展开就可以写出什么地方呢，写出什么内容呀？,1
447,嗯嗯，这几个词语，你是不是比较熟悉呀？,1
451,啊，现在你看它说的真的六看来，我们比较熟悉了。那时间是什么时间吗？,1
455,它加是这件事情发生的时间，对不对？,1
467,那我们再来想想，咱们现在上课的这件事情哎，为什么要上课呢？,1
485,我们整个上课的过程是不是啊？,1
486,对比如说咱们一开始是不是傻了想上节课学过的基本功珍珠。,0
490,嗯然后我们要看了图片，然后还有它只讲内容，这叫什么经过了，那你能猜得到结果吗？,1
501,你今天上完一节课之后会不会有收获呀？,1
506,上完一节课会不会要烧火比如说。,1
510,所以你的收获是不是用谁来字，然后还会写看图写花了。,1
515,这啊，刚刚说到的这几个呢，就是要把一件事情写清楚的几个点，那这些点呢，是需要都写到的。,0
525,让小宝贝坐在椅子上，那么爱垫子好像很有趣。,0
532,啊，他们看样子好像还有气满一下下啊，你再来想一想，它们坐在这里算出来干什么？,1
535,妈妈让小宝贝采这是什么时候图中有谁在那里坐着。,1
539,对你看看，这是什么时候呀，要求呢在哪里呀，在做什么呀，先找到他们的状态。,1
546,那你可以告诉我，它们现在在干什么吗？,1
547,它们现在要踩地板上了几个字。,0
552,不是很清楚，那我们再来看看这里吧。,0
555,他们家该往下。,0
556,泡脚很有趣呢？,1
558,嗯，刚才在干什么了？,1
559,哦，泡脚还要去，那你看出一个人泡脚吗？还是两个人，他讲呢？,1
562,嗯，那你再让他仨宝贝的少啊，他这样子的一个动作的话呢，说明他现在在干什么呢？,1
567,嗯，我很怎么可以从这里你看一看肾小宝贝问答妈妈呢？,1
573,那我们是比如说那洗气好了啊。,0
581,对呀，所以是不是三百倍再改妈妈写角呢？,1
586,那这样子的话咱们是不是要清楚了其实图片里边他们在做什么呢那就是小宝贝在狗妈吗？,1
594,嗯，什么。,1
600,当然有有点奇怪，哪里奇怪呀？,1
614,有没有的东西呢，不够冲走，那等一下完了吗，它讲的时候，它是不是可以代去拿呀？,1
618,应该是吧哎，你就可以想一想，怎么样让这个勾是变的更加合理一些，我们就要怎么样来写是不是啊。,1
621,胖浇水不热怎么辛苦？,1
625,好的好的你在这个画画画面不错啊画面不错但是在答题啊刚才在穿的衣服你看一下是冬天的衣服还是下边能约。,0
632,嗯，那看一下图片，然后画角的时候呢？谁呀？谁围绕多少度呢？,1
637,应该不会因为真净化掉就是用身体跑了，不是用水泡。,1
638,真挺怕甲的话那是内角还是在往斜里边放吗。,1
644,所以现在我们来说一说吧，那这是他什么时候呀，途中都要学会在哪里做什么呢，我们来找一找一找吧，你可以来想一想。,1
647,嗯途中要谁呀？什么啦和。,1
648,二B等于X嗯，它们是在。,0
651,哪里呀，,1
652,嗯在家里在客厅，他们呢，做什么是在。,1
656,这个小狗带怎么不能睡觉过来像是会打翻了。,1
